entity_id,state,last_changed
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.23,2024-03-31T08:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.247,2024-03-31T09:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.264,2024-03-31T10:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.281,2024-03-31T11:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.298,2024-03-31T12:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.315,2024-03-31T13:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.381,2024-03-31T14:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.398,2024-03-31T15:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.407,2024-03-31T16:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.415,2024-03-31T17:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.423,2024-03-31T18:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,22.432,2024-03-31T19:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,23.165,2024-03-31T20:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,23.702,2024-03-31T21:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,23.867,2024-03-31T22:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,24.615,2024-03-31T23:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,25.025,2024-04-01T00:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,25.041,2024-04-01T01:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,25.058,2024-04-01T02:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,25.826,2024-04-01T03:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,26.374,2024-04-01T04:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,26.392,2024-04-01T05:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,26.41,2024-04-01T06:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,26.88,2024-04-01T07:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,27.502,2024-04-01T08:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,27.743,2024-04-01T09:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,27.851,2024-04-01T10:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,27.929,2024-04-01T11:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,28.45,2024-04-01T12:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,28.627,2024-04-01T13:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,29.908,2024-04-01T14:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,31.595,2024-04-01T15:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,31.603,2024-04-01T16:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,31.611,2024-04-01T17:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,31.62,2024-04-01T18:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,31.628,2024-04-01T19:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,32.282,2024-04-01T20:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,32.496,2024-04-01T21:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,32.826,2024-04-01T22:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,33.158,2024-04-01T23:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,33.296,2024-04-02T00:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,33.654,2024-04-02T01:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,34.261,2024-04-02T02:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,34.455,2024-04-02T03:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,35.016,2024-04-02T04:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,35.569,2024-04-02T05:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,35.62,2024-04-02T06:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,36.002,2024-04-02T07:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,36.601,2024-04-02T08:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,36.803,2024-04-02T09:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,37.402,2024-04-02T10:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,37.899,2024-04-02T11:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,38.335,2024-04-02T12:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,38.883,2024-04-02T13:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,38.937,2024-04-02T14:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,39.543,2024-04-02T15:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,39.555,2024-04-02T16:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,39.563,2024-04-02T17:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,39.571,2024-04-02T18:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,39.58,2024-04-02T19:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,40.684,2024-04-02T20:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,41.342,2024-04-02T21:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,42.103,2024-04-02T22:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,43.014,2024-04-02T23:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,43.875,2024-04-03T00:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,44.819,2024-04-03T01:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,45.676,2024-04-03T02:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,46.874,2024-04-03T03:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,47.799,2024-04-03T04:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,48.989,2024-04-03T05:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,50.247,2024-04-03T06:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,51.444,2024-04-03T07:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,52.502,2024-04-03T08:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,53.244,2024-04-03T09:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,54.245,2024-04-03T10:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,54.873,2024-04-03T11:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,55.419,2024-04-03T12:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,55.76,2024-04-03T13:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,56.226,2024-04-03T14:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,56.944,2024-04-03T15:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,56.956,2024-04-03T16:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,56.964,2024-04-03T17:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,56.972,2024-04-03T18:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,56.98,2024-04-03T19:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,58.387,2024-04-03T20:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,59.465,2024-04-03T21:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,60.357,2024-04-03T22:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,60.996,2024-04-03T23:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,62.022,2024-04-04T00:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,62.773,2024-04-04T01:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,63.453,2024-04-04T02:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,64.402,2024-04-04T03:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,65.041,2024-04-04T04:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,65.582,2024-04-04T05:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,66.121,2024-04-04T06:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,66.661,2024-04-04T07:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,67.197,2024-04-04T08:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,67.74,2024-04-04T09:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,68.277,2024-04-04T10:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,68.812,2024-04-04T11:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,69.298,2024-04-04T12:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,69.93,2024-04-04T13:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,70.397,2024-04-04T14:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,70.992,2024-04-04T15:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,71.004,2024-04-04T16:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,71.012,2024-04-04T17:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,71.02,2024-04-04T18:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,71.028,2024-04-04T19:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,71.925,2024-04-04T20:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,72.311,2024-04-04T21:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,72.738,2024-04-04T22:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,73.327,2024-04-04T23:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,73.493,2024-04-05T00:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,74.308,2024-04-05T01:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,74.673,2024-04-05T02:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,75.353,2024-04-05T03:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,75.724,2024-04-05T04:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,76.401,2024-04-05T05:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,76.81,2024-04-05T06:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,77.52,2024-04-05T07:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,77.907,2024-04-05T08:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.157,2024-04-05T09:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.559,2024-04-05T10:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.577,2024-04-05T11:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.634,2024-04-05T12:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.65,2024-04-05T13:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.667,2024-04-05T14:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.682,2024-04-05T15:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.69,2024-04-05T16:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.698,2024-04-05T17:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.706,2024-04-05T18:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.715,2024-04-05T19:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.792,2024-04-05T20:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.81,2024-04-05T21:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.828,2024-04-05T22:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.846,2024-04-05T23:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,78.862,2024-04-06T00:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,79.057,2024-04-06T01:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,79.637,2024-04-06T02:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,79.941,2024-04-06T03:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,80.206,2024-04-06T04:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,80.773,2024-04-06T05:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.03,2024-04-06T06:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.047,2024-04-06T07:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.065,2024-04-06T08:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.082,2024-04-06T09:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.099,2024-04-06T10:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.117,2024-04-06T11:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.135,2024-04-06T12:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.148,2024-04-06T13:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.157,2024-04-06T14:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.165,2024-04-06T15:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.174,2024-04-06T16:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.182,2024-04-06T17:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.19,2024-04-06T18:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.199,2024-04-06T19:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,81.819,2024-04-06T20:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,82.273,2024-04-06T21:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,82.534,2024-04-06T22:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,83.096,2024-04-06T23:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,83.287,2024-04-07T00:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,83.303,2024-04-07T01:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,83.321,2024-04-07T02:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,83.399,2024-04-07T03:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,83.814,2024-04-07T04:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,84.445,2024-04-07T05:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,84.539,2024-04-07T06:00:00.000Z
sensor.panasonic_heat_pump_s0_watthourtotal_1,84.916,2024-04-07T07:00:00.000Z
